"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Collections. II. Poetry. Smaller Collections","Selected poems of Wordsworth [Edited by] William Robertson","003976985","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Robertson, William [person]","The King's treasury of literary masterpieces","","England","London","George G. Harrap","1913","","191 pages, plates, 15 cm","","012208.de.6/11","","","","",""
"Collections. II. Poetry. Smaller Collections","Selected poems of Wordsworth","003976966","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","Roses of Parnassus","number 12 [Roses of Parnassus]","England ; Scotland","Edinburgh ; London","T. N. Foulis","1906","","37 pages, 18 cm","","11604.dg.17/12","","","","",""
"Collections. II. Poetry. Smaller Collections","Selected poems of Wordsworth","003976987","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","Standard English classics","","","","","","","","","012203.f.39/20","","","","",""
"Collections. II. Poetry. Smaller Collections","Selected poems","003976940","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","","","","","","","","","","11603.bb.35","","","","",""
"Collections. II. Poetry. Smaller Collections","Selected poems","003977027","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","Sheldonian English series","","","","","","","","","W.P.C.100/1","","","","",""
"Collections. II. Poetry. Smaller Collections","Selected poems","003977033","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","Pelican books A466","","","","","","","","","012209.d.4/466","","","","",""
"Collections. II. Poetry. Smaller Collections","Selected poems. Edited, with an introduction and notes, by Walford Davies","003977050","Monograph","Language material ; Text","Volume","","","9780460102032","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Davies, Walford, 1940- [person]","","","England","London ; Totowa, New Jersey","Dent ; Rowman & Littlefield","1975","","xxv, 214 pages, 20 cm","","X.989/29249","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth","003976937","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","","","","","","","","","","11603.bb.36","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth","003976981","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","Langham booklets","","England","London","Siegle, Hill","1910","","80 pages, 95 mm","","944.b.36","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth's poems. With notes for teachers and scholars","003976910","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","Allman's English classics for elementary schools","number 11 [Allman's English classics for elementary schools]","England","London","T. J. Allman","1874","","32 pages, 16 cm","","12205.cc.8/25","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth, etc","003977014","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","A little treasury of poetry and art","","England","London ; Sheldon Press","","1932","","31, pages, illustrations, 14 cm","","11609.ee.13","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth, with a brief sketch of his life","003976924","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","","","United States of America","Cincinnati","R. Clarke","1886","","40 pages (8°)","","11602.e.38. (2.)","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth, with a brief sketch of his life","014861161","Monograph","Language material ; Text","Online resource","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","","","United States of America","Cincinnati","R. Clarke","1886","","40 pages (8°)","","Digital Store 11602.e.38. (2.)","","","English","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth. An introduction to romance in literature. By [i.e. edited, with an introduction, by] Adam Fox","003976978","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Fox, Adam [person]","","","England","Alston Rivers ; London","","1909","","vi, 216 pages, 19 cm","","11644.eeee.57","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth. By William Knight and other members of the Wordsworth Society. With preface and notes","003976926","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Knight, William Angus [person]","","","England","Colorado ; Kegan Paul, Trench ; London","","1888","","xxiv, 309 pages, plates, portraits, 21 cm","","11612.e.17","","","English","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth. By William Knight and other members of the Wordsworth Society. With preface and notes","014832542","Monograph","Language material ; Text","Online resource","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Knight, William Angus [person]","","","England","London","Kegan Paul, Trench","1888","","xxiv, 309 pages, plates, portraits, 21 cm","","Digital Store 11612.e.17","","","English","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth. Edited by D. C. Somervell","003976999","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Somervell, D. C. (David Churchill), 1885-1965 [person] ; Wordsworth, William, 1770-1850 [person]","The king's treasuries of literature","","England ; United States of America","London ; New York ; Toronto","E. P. Dutton ; J M Dent","1921","","254 pages, portraits, 16 cm","","012207.aaa.1/163","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth. Edited with introduction and notes by W. T. Webb","003976944","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Webb, W. T. (William Trego), 1847-1934 [person] ; Wordsworth, William, 1770-1850 [person]","","","England","London","Macmillan","1897","","xlix, 215 pages, 18 cm","","11611.c.32","","","English","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth. Edited with notes and an introduction by Philip Wayne","003977013","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Wayne, Philip Arthur [person]","Selected English classics","","England","London","Ginn","1932","","xxxix, 200 pages, portraits, 17 cm","","012213.h.4/14","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth. Preceded by Lowell's Essay on Wordsworth and annotated by H. B. Cotterill","003976961","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Cotterill, Henry Bernard [person]","","","England ; United States of America","London ; Macmillan, Colorado ; New York","Macmillan","1904","","xli, 83 pages, 18 cm","","11644.eee.68","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth. With notes by A. J. George","003976928","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; George, Andrew Jackson, 1855-1907 [person]","","","","","Boston ; D. C. Heath","1889","","xx, 434 pages, 19 cm","","11612.df.13","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from Wordsworth. With notes by A. J. George","014848292","Monograph","Language material ; Text","Online resource","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; George, Andrew Jackson, 1855-1907 [person]","","","","Boston","D. C. Heath","1889","","xx, 434 pages, 19 cm","","Digital Store 11612.df.13","","","English","",""
"Collections. II. Poetry. Smaller Collections","Selections from the poems of William Wordsworth, Esq. Chiefly for the use of schools and young persons [The editor's preface signed: Joseph Hine.]","003976893","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","","","England","Edward Moxon ; London","","1831","","xvi, 365 pages (12°)","","11612.e.16 ; 992.f.27","","","English","",""
"Collections. II. Poetry. Smaller Collections","Selections from the poems of William Wordsworth, Esq. Chiefly for the use of schools and young persons [The editor's preface signed: Joseph Hine.]","014832540","Monograph","Language material ; Text","Online resource","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","","","England","London","Edward Moxon","1831","","xvi, 365 pages (12°)","","Digital Store 11612.e.16","","Poetry or verse","English","",""
"Collections. II. Poetry. Smaller Collections","Selections from the poems of William Wordsworth. Edited by A. Hamilton Thompson","003976995","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","English romantic poets","","","Cambridge ; University Press","","1917","","xl, 203 pages, 20 cm","","11611.bbb.48/4","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from the poems of William Wordsworth. Edited, with an introduction & notes, by Nowell C. Smith, etc","003976952","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Smith, Nowell Charles [person]","The little library","","England","London","Methuen","1901","","xliv, 270 pages, plates, portraits, 16 cm","","012208.df.7/17","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from the poetical works of William Wordsworth. Edited, with notes, by H. H. Turner","003976911","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Turner, Hawes Harrison [person]","English school-classics","","England","London","Rivington's","1874","","87 pages, 17 cm","","12205.aaa.40/33","","","","",""
"Collections. II. Poetry. Smaller Collections","Selections from the poetical works of William Wordsworth. Edited, with notes, by Hawes Turner ... New edition","003976916","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Turner, Hawes Harrison [person]","English school-classics","","England","London","Rivingtons","1881","","xx, 84 pages, 17 cm","","12205.aaa.40/32","","","","Earlier edition, 1874",""
"Collections. II. Poetry. Smaller Collections","Selections from the poetry of William Wordsworth. Edited by E. E. Speight, etc","003976949","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Caird, Edward, 1835-1908 [person] ; Wordsworth, William, 1770-1850 [person]","The new English series","","England","Horace Marshall ; London","","1899","","viii, 80 pages, 19 cm","","12274.bb","","","","",""
"Collections. II. Poetry. Smaller Collections","Shorter poems of Wordsworth, etc","003977031","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","The world's classics","volume 568 [The world's classics]","","","","","","","","012209.df.453","","","","",""
"Collections. II. Poetry. Smaller Collections","Sonnets by William Wordsworth","003976957","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","The bibelots","","England","London","Gay & Bird","1902","","xvi, 152 pages, plates, portraits, 13 cm","","K.T.C.41.a.7/16","","","","number 12 of sixty copies on fine paper",""
"Collections. II. Poetry. Smaller Collections","Sonnets by William Wordsworth. (Selection ... made by G. Ravenscroft Dennis.)","003976959","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Dennis, George Ravenscroft [person]","","","England","London","Chiswick Press ; George Bell","1903","","88 pages, 17 cm","","11647.df.12","","","","",""
"Collections. II. Poetry. Smaller Collections","Sonnets by William Wordsworth. With biographical introduction by Hannaford Bennett","003976969","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","John Long's Carlton classics","","England","London","John Long","1907","","158 pages, 16 cm","","12204.p.11/26","","","","",""
"Collections. II. Poetry. Smaller Collections","Sonnets by Wordsworth","003976975","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","Select English classics","","","","","","","","","12271.tt.10/18","","","","",""
"Collections. II. Poetry. Smaller Collections","Ten sonnets by William Wordsworth","003977011","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","","","","Birmingham","Birmingham School","1930","","7 pages, 27 cm","","Cup.502.g.1/26","","","","",""
"Collections. II. Poetry. Smaller Collections","The Grasmere Wordsworth ... Edited by John Hawke","003977005","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Hawke, John, editor [person]","","","England","Blount ; London ; Selwyn","","1926","","xx, 396 pages, plates, 17 cm","","011645.de.160","","","English","A collection of poems written before 1816 ; Other edition: The Grasmere Wordsworth ... Edited by John Hawke. London: Simpkin, Marshall, Hamilton, Kent & Co, 1927. pp. xx, 396: plate. 17 cm",""
"Collections. II. Poetry. Smaller Collections","The Grasmere Wordsworth ... Edited by John Hawke","003977006","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Hawke, John, editor [person]","","","England","London","Simpkin, Marshall","1927","Second edition","xx, 396 pages, plates, 17 cm","","011604.e.34","","","","",""
"Collections. II. Poetry. Smaller Collections","The earlier poems of William Wordsworth. Corrected as in the latest editions. With preface, and notes showing the text as it stood in 1815. By William Johnston","003976899","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Johnston, William, barrister-at-law [person]","","","England","Edward Moxon ; London","","1857","","xxxvi, 435 pages, 18 cm","","11642.b.58","","","English","",""
"Collections. II. Poetry. Smaller Collections","The earlier poems of William Wordsworth. Corrected as in the latest editions. With preface, and notes showing the text as it stood in 1815. By William Johnston","016979304","Monograph","Language material ; Text","Online resource","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Johnston, William, barrister-at-law [person]","","","England","Edward Moxon ; London","","1857","","xxxvi, 435 pages, 18 cm","","Digital Store 11642.b.58","","","English","",""
"Collections. II. Poetry. Smaller Collections","The excursion, The white doe of Rylstone, and miscellaneous poems, etc","003976908","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Aspland, Theophilus Lindsey [person]","","","","Halifax","Milner & Sowerby","1858","","2, 379, 1 page, 1 leaf of plates, 13 cm","","RB.23.a.18473","","","English","Other edition: The excursion, The white doe of Rylstone, and miscellaneous poems, etc. London: Simpkin Marshall & Co.: Windermere: J. Garnett, 1874. pp. vii, 408: plate; port. 17 cm ; With an additional titlepage, engraved, entitled: 'Wordsworth's Excursion'. With a 4pp. catalogue at end. With the bookseller's ticket of W. Homes, [London] . manuscript ownership inscription: Gregory",""
"Collections. II. Poetry. Smaller Collections","The excursion, The white doe of Rylstone, and miscellaneous poems, etc","003976909","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","The poets of Lakeland","","England","Garnett ; London ; Windermere","Simpkin, Marshall","1874","Another edition, Wordsworth. Containing extracts from The excursion, The white doe of Rylstone, The brothers, Michael, Laodamia, sonnets and minor poems. With a memoir of the author, by T. Lindsey Aspland","vii, 408 pages, plates, portraits, 17 cm","","11603.b.18","","","","",""
"Collections. II. Poetry. Smaller Collections","The homeland Wordsworth. A collection of the shorter poems, selected by John Hawke","003977001","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Hawke, John, editor [person]","","","England","London ; Religious Tract Society","","1923","","xv, 157 pages, plates, portraits, 19 cm","","11643.i.42","","","English","",""
"Collections. II. Poetry. Smaller Collections","The lyric poems of Wordsworth. Edited by Ernest Rhys","003976941","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","The lyric poets","","England","London","J M Dent","1897","","xxvi, 343 pages, plates, portraits, 16 cm","","11607.ccc.12","","","English","",""
"Collections. II. Poetry. Smaller Collections","The patriotic poetry of William Wordsworth. A selection, with introduction and notes, by Right Hon. Arthur H. D. Acland","003976991","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Acland, Arthur Herbert Dyke, Right Honourable Sir, Baronet [person]","","","","Clarendon Press ; Oxford","","1915","","143 pages, 16 cm","","11609.a.44","","","English","",""
"Collections. II. Poetry. Smaller Collections","The poetical works of William Wordsworth, with a prefatory notice, biographical and critical, by Andrew James Symington","003976919","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Symington, Andrew James [person]","The Canterbury poets","","England","London ; Newcastle upon Tyne","Walter Scott","1885","","285 pages, 14 cm","","11604.aaa.21","","","English","",""
"Collections. II. Poetry. Smaller Collections","The poetry of Wordsworth. Selected and edited by T. Crehan","003977038","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Crehan, Thomas [person]","London English literature series","","England","London","University of London Press","1965","","254 pages, 20 cm","","W.P.914/51","","","English","Other edition: The poetry of Wordsworth. Selected and edited by T. Crehan. London: University of Lond Press, 1965 [1968] . SBN 340 08362 X pp. 254. 20 cm",""
"Collections. II. Poetry. Smaller Collections","The poetry of Wordsworth. Selected and edited by T. Crehan","003977039","Monograph","Language material ; Text","Volume","","","9780340083628","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","London English literature series","","England","London","University of London Press","1968","Same edition, republished","254 pages, 20 cm","","W.P.914/41","","","","",""
"Collections. II. Poetry. Smaller Collections","The poetry of Wordsworth. Selected and edited by T. Crehan","003977046","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Crehan, Thomas [person]","London English literature series","","England","London","University of London Press","1971","","254 pages, 20 cm","","W.P.914/52","","","English","A republication of the edition of 1965",""
"Collections. II. Poetry. Smaller Collections","The shorter poems of Wordsworth. Edited, with an introduction, by George Mackaness","003976994","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Mackaness, George [person] ; Wordsworth, William, 1770-1850 [person]","","","England","Dent ; London ; Sons","","1916","","144 pages, 18 cm","","11643.e.59","","","English","",""
"Collections. II. Poetry. Smaller Collections","The simpler poems of William Wordsworth. Edited with introduction and glossary by Edward Hutton","003976967","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Hutton, Edward, 1875-1969 [person]","The Temple English literature series for schools","","","","","","","","","12204.p.4/12","","","English","With a separate titlepage bearing the imprint of J. M. Dent & Co, London",""
"Collections. II. Poetry. Smaller Collections","The solitary song. Poems for young readers chosen and introduced by Edmund Blunden. Illustrated by David Gentleman","003977043","Monograph","Language material ; Text","Volume","","","9780370011189","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Blunden, Edmund, 1896-1974 [person]","","","England","London","Bodley Head","1970","","96 pages, 23 cm","","X.990/2199","","","English","",""
"Collections. II. Poetry. Smaller Collections","The sonnets of William Wordsworth ... With an essay on the history of the English sonnet by Richard Chenevix Trench","003976918","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","","","England","London","Suttaby","1883","","xliv, 246 pages, 18 cm","","11604.b.7","","","English","",""
"Collections. II. Poetry. Smaller Collections","The sonnets of William Wordsworth. (Edited by G. C. Moore Smith.)","003976950","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Smith, George Charles Moore [person]","The Temple classics","","England","London","J M Dent","1899","","vii, 285 pages, plates, portraits, 16 cm","","012200.de.8/56","","","English","Without the author's notes. Earlier edition, 1838",""
"Collections. II. Poetry. Smaller Collections","The sonnets of William Wordsworth. Collected in one volume, with a few additional ones, now first published [Collected by Wordsworth himself, with his own notes appended.]","003976894","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","","","England","Edward Moxon ; London","","1838","","xi, 477 pages (8°)","","11646.eee.21 ; Ashley 2263","","","English","",""
"Collections. II. Poetry. Smaller Collections","Tintern Abbey, Ode to duty, Ode on intimations of immortality, and The happy warrior, etc","003976923","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","Chambers's reprints of English classics","","England ; Scotland","Edinburgh ; London","W. & R. Chambers","1885","","31 pages, 17 cm","","12205.aa.18/8","","","","",""
"Collections. II. Poetry. Smaller Collections","William Wordsworth [The editor's preface signed: H. W. Garrod.]","003977009","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","The Augustan books of English poetry. series 2","number 19 [The Augustan books of English poetry. series 2]","England","London","Ernest Benn","1928","","31 pages, 22 cm","","11605.cc.12/75","","","","",""
"Collections. II. Poetry. Smaller Collections","William Wordsworth e la sua poesia commentata e spiegata [The commentary by Emilia Bassi.]","003977000","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Bassi, Emilia [person]","","","","Bologna ; Nicola Zanichelli","","1921","","159 pages, 26 cm","","11611.h.19","","","Italian","",""
"Collections. II. Poetry. Smaller Collections","William Wordsworth. A selection of shorter poems. Edited by G. D. H. & M. I. Cole","003977010","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","The Ormond poets","number 11 [The Ormond poets]","England","London","Noel Douglas","1928","","61 pages, 18 cm","","11655.f.14/11","","","","",""
"Collections. II. Poetry. Smaller Collections","William Wordsworth. Select poems. Chosen and edited by S. G. Dunn","003976993","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","The Indian library of English poets","volume 1 [The Indian library of English poets]","England","London","Oxford University Press","1916","","128 pages, plates, portraits, 17 cm","","11607.ccc.27/1","","","","",""
"Collections. II. Poetry. Smaller Collections","William Wordsworth. Selected poems and sonnets. Edited by Arthur D. Innes","003977012","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Innes, Arthur Donald [person] ; Wordsworth, William, 1770-1850 [person]","Blackie's English classics","","England ; Scotland","Glasgow ; London","Blackie","1931","","48 pages, 17 cm","","012200.e.3/75","","","","",""
"Collections. II. Poetry. Smaller Collections","William Wordsworth. Selected poems. Edited by George W. Meyer","003977024","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Meyer, George Wilbur [person] ; Wordsworth, William, 1770-1850 [person]","Crofts classics","","United States of America","New York","Appleton-Century-Crofts","1950","","xii, 116 pages, 18 cm","","11657.h.3","","","","",""
"Collections. II. Poetry. Smaller Collections","William Wordsworth. Selected poetry. Edited, with an introduction, by Mark van Doren","003977025","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Van Doren, Mark, 1894-1972 [person] ; Wordsworth, William, 1770-1850 [person]","Modern library","number 268 [Modern library]","United States of America","New York","Random House","1950","","xxiv, 712 pages, 19 cm","","X.908/7310","","","","",""
"Collections. II. Poetry. Smaller Collections","William Wordsworth. Selections from his poetry. Edited with an introduction and notes by J. H. Walsh","003977041","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","The Queen's classics","","England","London","Chatto & Windus","1968","","xv, 186 pages, plates, 19 cm","","W.P.C.97/49","","","","",""
"Collections. II. Poetry. Smaller Collections","William Wordsworth. Shorter poems. With introduction and notes by W. Dent","003976938","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Dent, Walter [person]","Blackie's English classics","","England","London","Blackie","1895","","32 pages, 17 cm","","012200.e.3/25","","","","",""
"Collections. II. Poetry. Smaller Collections","William Wordsworth. With an introduction by Viscount Grey of Fallodon","003977002","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Grey of Fallodon, Edward Grey, Viscount, 1862-1933 [person] ; Wordsworth, William, 1770-1850 [person]","","","England ; Scotland","Edinburgh ; London","Thomas Nelson","1924","","xxii, 438 pages, portraits, 16 cm","","11632.de.35","","","","",""
"Collections. II. Poetry. Smaller Collections","Winnowings from Wordsworth. Edited by J. Robertson","003976917","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Robertson, J. [person]","","","Scotland","Edinburgh","William P. Nimmo","1883","","128 pages, 88 mm","","C.109.e.10","","","","",""
"Collections. II. Poetry. Smaller Collections","With courage. Some sonnets of William Wordsworth written during and after the Napoleonic crisis, and sonnets and other verses, mostly written during the present war, by Henry John Bulkeley","003976988","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","","","England","George Routledge ; London ; Sons","","1914","","3 parts, 11 cm","","11652.aaaa.12","","","","",""
"Collections. II. Poetry. Smaller Collections","Wordsworth [Selected poems.]","003976982","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","Moment series","","England","London","Henry Frowde","1910","","pages not numbered, plates, portraits, 99 mm","","944.ccc","","","","Cover title: Moments with Wordsworth",""
"Collections. II. Poetry. Smaller Collections","Wordsworth [Selected poems.]","003977036","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person]","The English poets. Chaucer to Yeats","","England","London","British Council ; Oxford University Press","1963","","2 parts, 18 cm","","011302.w.4/4","","","","",""
"Collections. II. Poetry. Smaller Collections","Wordsworth and Coleridge. Contrasted by Guy Boas","003977004","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Boas, Guy Herman Sidney [person]","The 'Teaching of English' series","","England ; Scotland","Edinburgh ; London","Thomas Nelson","1925","","239 pages, portraits, 16 cm","","012207.aa.1/38","","","","",""
"Collections. II. Poetry. Smaller Collections","Wordsworth and Longfellow. Select poems. Edited with introduction and notes by Pelham Edgar","003976963","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Edgar, Pelham [person]","Morang's modern text books","","","Toronto","Morang","1904","","265 pages, 19 cm","","012203.g.11/5","","","","including seven poems by Wordsworth",""
"Collections. II. Poetry. Smaller Collections","Wordsworth for the young. Selections. With an introduction ... by Cynthia Morgan St. John, etc","003976932","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Saint John, Cynthia Morgan [person]","","","","Boston","D. Lothrop","1891","","153 pages, illustrations, portraits, 23 cm","","011653.h.31","","","","",""
"Collections. II. Poetry. Smaller Collections","Wordsworth for the young. With introduction and notes by J. C. Wright","003976936","Monograph","Language material ; Text","Volume","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Wright, J. C. (John Charles), 1852-1933 [person]","","","England","Jarrold ; London ; Sons","","1893","","100 pages, 20 cm","","11621.e.32","","","English","",""
"Collections. II. Poetry. Smaller Collections","Wordsworth for the young. With introduction and notes by J. C. Wright","014605623","Monograph","Language material ; Text","Online resource","","","","Wordsworth, William","1770-1850","person","","Wordsworth, William, 1770-1850 [person] ; Wright, J. C. (John Charles), 1852-1933 [person]","","","England","London","Jarrold","1893","","100 pages, 20 cm","","Digital Store 11621.e.32","","","English","",""
